token_type	n_tokens	n_hit	mean_left	mean_right	net_score	frac_hit	frac_left	frac_right	frac_tie	frac_unknown	maj_side
cfarasr	1	1	51.000000	0.000000	51.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
cfhaiin	1	1	51.000000	0.000000	51.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
cfham	1	1	51.000000	0.000000	51.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
cfhar	2	2	51.000000	0.000000	51.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
cfhdorol	1	1	51.000000	0.000000	51.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
cfhdy	1	1	51.000000	0.000000	51.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
cfheey	1	1	60.000000	0.000000	60.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
cfheo	1	1	57.000000	0.000000	57.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
cfheol	2	2	57.000000	0.000000	57.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
cfhey	1	1	57.000000	0.000000	57.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
cfhoaiin	1	1	51.000000	0.000000	51.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
cfhodar	1	1	51.000000	0.000000	51.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
cfhol	4	4	51.000000	0.000000	51.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
cfhoy	1	1	51.000000	0.000000	51.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
cfhy	2	2	51.000000	0.000000	51.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
cfhyaiin	1	1	51.000000	0.000000	51.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
ch	4	4	69.000000	22.000000	47.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
cha	1	1	51.000000	0.000000	51.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
chad	1	1	51.000000	0.000000	51.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
chady	1	1	51.000000	0.000000	51.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
chaiin	29	29	51.000000	0.000000	51.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
chaiind	1	1	51.000000	0.000000	51.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
