idx	token	length	freq	H1_local_bits	n_rules	rule_ids	family_signature	best_pmi_partner
4545	ytam	4	11	11.398161	0			
4546	pshesy	6	1	14.857592	0			
4547	otey	4	47	9.303003	0			
4548	kshdy	5	5	12.535664	0			
4549	opchdy	6	18	10.687667	0			
4550	kedar	5	3	13.272630	1	chargram:ke:left	chargram:ke:left	
4551	okedy	5	94	8.303003	2	chargram:ok:left,chargram:oke:left	chargram:ok:left-chargram:oke:left	
4552	chdy	4	114	8.024702	0			
4553	shocphhy	8	1	14.857592	0			
4554	dytydy	6	1	14.857592	0			
4555	pchdy	5	11	11.398161	0			
4556	kedy	4	34	9.770129	1	chargram:ke:left	chargram:ke:left	
4557	dam	3	82	8.500040	0			
4558	ytchedy	7	9	11.687667	0			
4559	chedy	5	417	6.153689	1	chargram:che:left	chargram:che:left	
4560	cheody	6	61	8.926855	1	chargram:che:left	chargram:che:left	
4561	shy	3	72	8.687667	0			
4562	qoiiin	6	3	13.272630	0			
4563	sheeeky	7	2	13.857592	0			
4564	chedy	5	417	6.153689	1	chargram:che:left	chargram:che:left	
4565	dain	4	151	7.619188	0			
4566	shy	3	72	8.687667	0			
4567	ykolor	6	1	14.857592	0			
4568	otaiin	6	125	7.891808	0			
4569	old	3	1	14.857592	0			
4570	pshdar	6	2	13.857592	0			
4571	shed	4	15	10.950702	0			
4572	ody	3	35	9.728309	0			
4573	qotedy	6	85	8.448201	0			
4574	yfchdy	6	1	14.857592	0			
4575	qockhhdy	8	1	14.857592	0			
4576	opchdy	6	18	10.687667	0			
4577	daiin	5	621	5.579143	0			
4578	qokedy	6	238	6.962775	1	chargram:qok:left	chargram:qok:left	
4579	dydydy	6	2	13.857592	0			
4580	qotar	5	57	9.024702	0			
4581	ytchedy	7	9	11.687667	0			
4582	ty	2	13	11.157153	0			
4583	shol	4	135	7.780777	0			
4584	toldy	5	1	14.857592	0			
4585	shody	5	43	9.431328	0			
4586	otchdy	6	26	10.157153	0			
4587	shdy	4	35	9.728309	0			
4588	otolol	6	1	14.857592	0			
4589	shd	3	6	12.272630	0			
4590	olky	4	19	10.609665	0			
4591	ytol	4	11	11.398161	0			
4592	otary	5	4	12.857592	0			
4593	cheky	5	45	9.365739	1	chargram:che:left	chargram:che:left	
4594	dy	2	196	7.242882	0			
4595	dor	3	49	9.242882	0			
4596	shol	4	135	7.780777	0			
4597	qokol	5	82	8.500040	1	chargram:qok:left	chargram:qok:left	
4598	shedy	5	371	6.322317	0			
4599	qotedy	6	85	8.448201	0			
4600	qokehdy	7	1	14.857592	1	chargram:qok:left	chargram:qok:left	
4601	qokody	6	9	11.687667	1	chargram:qok:left	chargram:qok:left	
4602	okehdy	6	1	14.857592	2	chargram:ok:left,chargram:oke:left	chargram:ok:left-chargram:oke:left	
4603	otedy	5	137	7.759560	0			
4604	shedy	5	371	6.322317	0			
4605	oty	3	95	8.287737	0			
4606	yty	3	18	10.687667	0			
4607	dy	2	196	7.242882	0			
4608	saiin	5	106	8.129672	0			
4609	tshed	5	2	13.857592	0			
4610	qosheckhhy	10	1	14.857592	0			
4611	odeedy	6	2	13.857592	0			
4612	qeokehy	7	1	14.857592	0			
4613	qotedy	6	85	8.448201	0			
4614	daiin	5	621	5.579143	0			
4615	shodody	7	1	14.857592	0			
4616	shochol	7	1	14.857592	0			
4617	chckhy	6	106	8.129672	0			
4618	ykedy	5	21	10.465275	0			
4619	dy	2	196	7.242882	0			
4620	pdsairy	7	1	14.857592	0			
4621	dalteoshy	9	1	14.857592	0			
4622	da	2	8	11.857592	0			
4623	ly	2	12	11.272630	0			
4624	sheet	5	2	13.857592	0			
4625	or	2	266	6.802310	0			
4626	arodl	5	2	13.857592	0			
4627	lkeo	4	2	13.857592	0			
4628	raraiin	7	5	12.535664	0			
4629	otedyo	6	1	14.857592	0			
4630	poldy	5	1	14.857592	0			
4631	shedy	5	371	6.322317	0			
4632	octhy	5	7	12.050237	0			
4633	otedy	5	137	7.759560	0			
4634	chedy	5	417	6.153689	1	chargram:che:left	chargram:che:left	
4635	dar	3	261	6.829686	0			
4636	chesckhy	8	1	14.857592	1	chargram:che:left	chargram:che:left	
4637	okeody	6	31	9.903396	2	chargram:ok:left,chargram:oke:left	chargram:ok:left-chargram:oke:left	
4638	oky	3	78	8.572190	1	chargram:ok:left	chargram:ok:left	
4639	okaldy	6	6	12.272630	1	chargram:ok:left	chargram:ok:left	
4640	kchdy	5	15	10.950702	0			
4641	okar	4	96	8.272630	1	chargram:ok:left	chargram:ok:left	
4642	tody	4	7	12.050237	0			
4643	teedy	5	12	11.272630	0			
4644	qot	3	8	11.857592	0			
4645	chocthy	7	11	11.398161	0			
4646	chky	4	13	11.157153	0			
4647	oky	3	78	8.572190	1	chargram:ok:left	chargram:ok:left	
4648	chdy	4	114	8.024702	0			
4649	okedy	5	94	8.303003	2	chargram:ok:left,chargram:oke:left	chargram:ok:left-chargram:oke:left	
4650	ykaiin	6	33	9.813198	0			
4651	chey	4	246	6.915078	1	chargram:che:left	chargram:che:left	
4652	ody	3	35	9.728309	0			
4653	dary	4	20	10.535664	0			
4654	dshey	5	12	11.272630	0			
4655	ykeedy	6	25	10.213736	0			
4656	chees	5	29	9.999611	1	chargram:che:left	chargram:che:left	
4657	aiin	4	367	6.337956	0			
4658	chy	3	98	8.242882	0			
4659	qocthedy	8	2	13.857592	0			
4660	chey	4	246	6.915078	1	chargram:che:left	chargram:che:left	
4661	qokar	5	126	7.880312	1	chargram:qok:left	chargram:qok:left	
4662	checkhy	7	39	9.572190	1	chargram:che:left	chargram:che:left	
4663	okam	4	24	10.272630	1	chargram:ok:left	chargram:ok:left	
4664	tolkchdy	8	1	14.857592	0			
4665	okedy	5	94	8.303003	2	chargram:ok:left,chargram:oke:left	chargram:ok:left-chargram:oke:left	
4666	qokedol	7	1	14.857592	1	chargram:qok:left	chargram:qok:left	
4667	shedy	5	371	6.322317	0			
4668	okedal	6	7	12.050237	2	chargram:ok:left,chargram:oke:left	chargram:ok:left-chargram:oke:left	
4669	shedy	5	371	6.322317	0			
4670	pchdol	6	2	13.857592	0			
