position	mean_H	sd_H
qockh	Recipes	0.481534
qockh	Astronomical	0.092659
qockh	Biological	0.450043
qockh	Unassigned	0.333367
olch	Herbal	0.860787
olch	Pharmaceutical	0.860787
olch	Recipes	0.860787
olch	Astronomical	0.092659
olch	Biological	0.860787
olch	Unassigned	0.092659
qot	Herbal	-0.313685
qot	Pharmaceutical	0.142278
qot	Recipes	-0.313685
qot	Astronomical	0.389391
qot	Biological	-0.313685
qot	Unassigned	0.092659
ytche	Herbal	-0.556888
ytche	Pharmaceutical	0.092659
ytche	Recipes	-0.417180
ytche	Astronomical	0.092659
ytche	Biological	0.092659
ytche	Unassigned	0.092659
cph	Herbal	-0.050495
cph	Pharmaceutical	-0.506458
cph	Recipes	-0.506458
cph	Astronomical	0.092659
cph	Biological	-0.506458
cph	Unassigned	0.092659
chcth	Herbal	1.079601
chcth	Pharmaceutical	0.583657
chcth	Recipes	1.079601
chcth	Astronomical	0.692827
chcth	Biological	1.079601
chcth	Unassigned	0.092659
chct	Herbal	0.572207
chct	Pharmaceutical	0.742323
chct	Recipes	0.742323
chct	Astronomical	0.742323
chct	Biological	0.742323
chct	Unassigned	0.092659
